# wrong<TAB>correct
فوايد	فوائد
قراءه	قراءة
قرائه	قراءة
قرائهـ	قراءة
قراه	قراءة
اسئله	أسئلة
اساله	أسئلة
مسؤليه	مسؤولية
مسؤله	مسؤولة
مسؤال	مسؤول
مسؤل	مسؤول
مسؤليه	مسؤولية
الزكاء الاصطناعي	الذكاء الاصطناعي
الزكاء الإصطناعي	الذكاء الاصطناعي
زكاء	ذكاء
ذكاه	ذكاء
الانترنت	الإنترنت
انترنت	الإنترنت
بروتكول	بروتوكول
برتكول	بروتوكول
برمجه	برمجة
تكويد	برمجة
جافا سكربت	جافاسكربت
جاڤا سكربت	جافاسكربت
بايثون	بايثون
بايثونن	بايثون
سيرفر	خادم
سيرفرات	خوادم
كلينت	عميل
اتش تي تي بي	HTTP
سوكت	سوكتس
تكنلوجيا	تكنولوجيا
تكنولوجبا	تكنولوجيا
كهربا	كهرباء
كهرياء	كهرباء
هندسه	هندسة
مدينه	مدينة
الامن	الأمن
الخصوصيه	الخصوصية
عناوين	عناوين
المعرفه	المعرفة
إختبار	اختبار
إختبارات	اختبارات
إنشائيه	إنشائية
انشائيه	إنشائية
المعماريه	المعمارية
المدنيه	المدنية
نضام	نظام
انضمه	أنظمة
برودكت	منتج
داتا	بيانات
ابليكيشن	تطبيق
ابلكيشن	تطبيق
دولابمنت	تطوير
ديباجه	تصحيح
فرونت إند	الواجهة الأمامية
باك إند	الواجهة الخلفية
معالجه	معالجة
تحليللات	تحليلات
شهاده	شهادة
شهادات	شهادات
بروفيسور	أستاذ
مصفوفه	مصفوفة
خوارزميه	خوارزمية
خوارزميات	خوارزميات
داله	دالة
معادله	معادلة
معادلات	معادلات
متتاليه	متتالية
إحتمال	احتمال
إحتمالات	احتمالات
تربيعيه	تربيعية
تكعيبيه	تكعيبية
إلكترونيات	إلكترونيات
الفيزيا	الفيزياء
الكيميا	الكيمياء
الاحيا	الأحياء
مصطلحات	مصطلحات
ضاهر	ظاهر
ظابط	ضابط
حفض	حفظ
ظغط	ضغط
نضف	نظف
ضهر	ظهر
مظبوط	 مضبوط
ظمن	ضمن
